Rank,Name,image,Ratings,Price
1,RAG28 Wooden Wall Decor Set of 11 (SPW1) Multicolour,https://m.media-amazon.com/images/I/81GQfgl4cnL._AC_UL320_.jpg,3.9,5099
2,"ArtX Paper Motivational Wall Frames, Inspirational Quotes Wall Frames For Home Office Study Room Decor, Multicolor Posters...",https://m.media-amazon.com/images/I/61VDPBbPgHL._AC_UL320_.jpg,4.4,"50,399"
3,Mahogany Life Vintage Glass Hanging Photo Frame For Wall Decor (5X7 inch) | Transparent Glass and Brass Metal Hanging Pres...,https://m.media-amazon.com/images/I/81dRciG8gBL._AC_UL320_.jpg,4.2,5001
4,"Indianara Religious Painting -Synthetic Wood, 27X30.5X1cm, Multicolour (GB5)",https://m.media-amazon.com/images/I/91aG2syqs9L._AC_UL320_.jpg,4.5,5099
5,LeXton 20 Piece Photo Clips String Light Battery Powered (Battery Not Included) for Home Decoration (Warm White),https://m.media-amazon.com/images/I/51emgfV2MfL._AC_UL320_.jpg,4,5099
6,Rangoli Large Modern Art Wall Sticker Mullticolor Vinyl Sticker 40cm or 50 cm Pack of 1,https://m.media-amazon.com/images/I/61kr+OtuymL._AC_UL320_.jpg,3.9,5099
7,"Kridaykraft Metal Kuber Deepam Oil lamp for or Bringing Good Luck, Prosperity and Wealth,",https://m.media-amazon.com/images/I/81ZFDD-jQqL._AC_UL320_.jpg,4.5,5000
8,"Bubble Candle - Cube Soy WaX Candles, Home Decor Candle, Scented Candle Set 2 Pieces, Home Use and Gifting",https://m.media-amazon.com/images/I/51DEwbXiYMS._AC_UL320_.jpg,3.7,5099
9,Soul & Scents 120 ml Lavender Reed Diffuser Set | Free 6 Fiber Reed Sticks |ToXin Free & Stress Relief | Fine-Living Natur...,https://m.media-amazon.com/images/I/71DiTFFutBL._AC_UL320_.jpg,3.9,5099
10,"Ajanta Orpat Time Piece Beep Alarm Clock (Small_140X114X74 Mm, White,Plastic)",https://m.media-amazon.com/images/I/41capdtY8rL._AC_UL320_.jpg,3.9,5099
11,"Homenique Artificial Leaf Money Plant Greenery Fake Hanging Vine Plants Leaf Garland Hanging for Wedding Home Decoration, ...",https://m.media-amazon.com/images/I/81Na4VCwgDS._AC_UL320_.jpg,4.3,"50,350"
12,"SAF Set of 3 Buddha UV TeXtured Home Decorative Gift Item Painting , 18 Inch X 12 Inch - SANFJM31046, Figures, Religious",https://m.media-amazon.com/images/I/61wu5AOuAfS._AC_UL320_.jpg,4,5099
13,"Mangaldeep Puja Agarbatti, Sandal, 60 Sticks (Pack of 2)",https://m.media-amazon.com/images/I/81FXb9pmHdL._AC_UL320_.jpg,4.2,500
14,Krisah 1 pcs Lab Tested ISI Seal Original Sandalwood Scented Processed Mysore Chandan Sticks 30-40 Gram for Puja,https://m.media-amazon.com/images/I/61DcvGB107L._AC_UL320_.jpg,4.1,"50,345"
15,"HIVAGI Aromatherapy Essential Oil Diffuser with Flame Light, 180mL Quiet Mist Humidifiers for Essential Oils Home Aroma A...",https://m.media-amazon.com/images/I/51NmAVTPhxL._AC_UL320_.jpg,3.7,"50,000"
16,"Amazon Brand - Solimo Collage Set of 11 Black Photo Frames ( 4 X 6 Inch - 2 & 5 X 5 Inch - 6, 5 X 7 inch - 2 & 8 X 10 inch...",https://m.media-amazon.com/images/I/61u37A47BmL._AC_UL320_.jpg,4.2,5070
17,"Basement Bazaar Mahi Glass Hookah (24.8 cm, Black)",https://m.media-amazon.com/images/I/51hBBC+C63L._AC_UL320_.jpg,3.3,5049
18,"Reflekt Premium Hand Soap Sheets (Lavender) - Pack Of 80 Sheets In Storage Tin BoX | Moisturising Formula, Effective On Ge...",https://m.media-amazon.com/images/I/41Nsg6P+aSL._AC_UL320_.jpg,4.2,5099
19,"PRINTNET Pack of 28 BTS Polaroid photocards Collection for BTS Fans, Multicolour",https://m.media-amazon.com/images/I/61un-T16bYL._AC_UL320_.jpg,4.4,5029
20,SPHINX Artificial Marigold Fluffy Flowers Garlands Double line Door Toran Set/Door Hangings for Home Office Decoration (Ap...,https://m.media-amazon.com/images/I/71PewjbMeFL._AC_UL320_.jpg,4.3,5099
21,Aditya Shopping Electric Ceramic Kapoor Dani/Aroma Oil Burner Cum Night Lamp with Switch Design (Style 03),https://m.media-amazon.com/images/I/51D54r9lGHL._AC_UL320_.jpg,3,5099
22,World Fire Home Deco Purifying Brass Dhuna Loban Burner(Round),https://m.media-amazon.com/images/I/61f3mxtQcrL._AC_UL320_.jpg,4.1,"50,400"
23,"natureCRAFTS Wooden Coasters for Drinks Set of 6 with Iron Holder, Wooden and Iron Tea Coaster to Prevent Furniture from B...",https://m.media-amazon.com/images/I/71spMTWrbfL._AC_UL320_.jpg,4,5099
24,Gopz FleXible Mirror Sheets Self-Adhesive Plastic Mirror Tiles Non-Glass Mirror Stickers for Home Decoration [Size:- 30cm*...,https://m.media-amazon.com/images/I/31+W3bgdDZL._AC_UL320_.jpg,4.7,5099
25,"Itiha Gudi showpiece with Artificial Upturned Copper Vessel,Orange Saree, Leaf with Supari and Kalash on Wooden Base Gudi ...",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71xdArkGYaL._AC_UL320_.jpg,4.1,5099
