rank,name,ratings,actual_price
1,"Spotzero by Milton Prime Spin Mop with Big Wheels and Stainless Steel Wringer, Bucket Floor Cleaning and Mopping System,2 ��",4.2,"50,599"
2,"Scotch-Brite 2-in-1 Bucket Spin Mop (Green, 2 Refills), 4 Pcs",4.2,"50,500"
3,"Scotch-Brite Rubber Heavy Duty Hand gloves for Dishwashing, gardening, kitchen cleaning ( Inner cotton lining for comfor...",4,5070
4,"GM 3060 E-Book 4 + 1 Power Strip 240 Volts with Master Switch, Indicator, Safety Shutter & 4 International sockets, Red & ...",4.5,5090
5,"Scotch-Brite No-Dust Broom, Long handle, Easy floor cleaning (Multi-use)",4.1,5000
6,"Scotch-Brite Sponge Wipe, Pack of 5 (Color and Print May Vary)",4.5,5055
7,RADIANT Door Bottom Sealing Strip Guard for Home (Size-36 inch) (Pack of 1) (Brown),3.8,5099
8,"rts Dual USB Universal Travel Adapter, International All in One Worldwide Travel Adapter and Wall Charger with USB Ports w...",4.2,"50,999"
9,"XML Bottle Cleaning Brush Silicone Long Handle for Baby Bottle, Water Bottle, Containers, Vase and Glassw, Bottle Cleaner ...",3.5,509
10,MI Xiaomi Wireless Home Security Camera 2i 2022 Edition | Full HD Picture | 360 View | 2MP | AI Powered Motion Detection |...,4.3,"50,499"
11,IMPOWER Self Defence Pepper Spray for Woman Safety - 55 ML (Pack of 1),4.3,5050
12,Scotch-Brite Plastic Kitchen Wiper,4.4,5050
13,Syska SSK-EBS-0402 ABS 4 Way Power Strip,4,5070
14,CP PLUS 2MP Full HD Smart Wi-f CCTV Home Security Camera |3603. with Pan Tilt | View & Talk | Motion Alert | Night Vision |...,3.5,"50,700"
15,"Gala No Dust Floor Broom XL (Modular,1 Piece)",4,5015
16,"Spotzero by Milton Elite Spin Mop with Bigger Wheels and Plastic Auto Fold Handle for 360 Degree Cleaning (Aqua Green, Two...",4.1,"50,899"
17,"Spotzero By Milton Spin Mop Spares set Handle with Microfibers Refill(Compatible with Prime, E-elite, Classic, Ace Mops) (...",3.7,5025
18,"Scotch-Brite Bathroom Brush with abrasive scrubber for superior tile cleaning (Green,Pack of 1)",4.2,5050
19,VazzLox Bathroom Cleaning Brush with Wiper 2 in 1 Tiles Cleaning Brush Floor Scrub Bathroom Brush with Long Handle 1203. Ro...,3.5,5099
20,Klick n shop Bathroom Cleaning Brush with Wiper 2 in 1 Tiles Cleaning Brush Floor Scrub with Long Handle 1203. Rotate Brush...,3.9,5099
21,CP PLUS 3MP Full HD Smart Wi-fi CCTV Home Security Camera | 3603. View | 2 Way Talk | Cloud Monitor | Motion Detect | Night...,3.8,"50,900"
22,"SOFTSPUN Microfiber Cleaning Cloths, 4pcs 40x40cms 340GSM Multi-Colour! Highly Absorbent, Lint and Streak Free, Multi -Pur...",4.4,5004
23,"Konquer TimeS KTS Automatic Wireless Water Can Dispenser Pump for 20 Litre Bottle Can, with silicone pipe.",3.9,5099
24,"Scotch-Brite Multi-purpose , Easy to use kitchen cleaning Sponge Wipe (3 -Pieces)",4.4,5015
25,AmazonBasics 15-in-1 Multi-Tool Pocket Knife with Nylon Sheath,4.3,"50,400"
26,"IONIX Tap, Tap Filter, Tap Extender for Kitchen Sink, Sink tap for Kitchen, Water tap, Kitchen Sink tap, Kitchen tap, Kitc...",3.2,5099
27,Sulfar USB Charging Automatic Stainless-Steel Plastic Drinking Portable Electric Switch Water Dispenser for Universal 5 Ga...,3.3,5060
28,One94store Motion Sensor Light for Home with USB Charging Wireless Self Adhesive LED Nightlight Rechargeable Body Sensor W...,3.4,5099
29,"Gala Plastic Popular Spin Mop With Easy Wheels, Long handle, Microfibre Refill and Water Outlet in Blue with White, Standa...",4.2,"50,999"
30,Raxon Innovation (Size-36 Inches) (Pack of 3) Door Dust Stopper and Door Bottom Sealing Strip (Color-Brown),3.8,5099
31,"Scotch-Brite Rubber Kitchen Gloves Large (Pink, Pack of 1 )",4,5030
32,STANLEY 0-20-807 10''/254mm Mini Hacksaw (Black),3.9,5004
33,BLACK OLIVE's Heavy Duty Automatic USB Charging Wireless Water Can Dispenser Pump for upto 25 Litre Universal Bottle with ...,3.4,5099
